X,site,latitude,longitude
6,GG1751_B,0,0
69,GA1301_P,0,0
79,GC1401_H,0,0
101,GG0951_A,0,0
109,GA5301_E,0,0
137,GG1751_C,0,0
158,GD1401_N,0,0
160,GG1551_B,0,0
172,GA1551_J,0,0
230,GI0601_R,0,0
236,GA1951_V,0,0
271,GA2351_X,0,0
325,GL1301_T,0,0
336,GI0551_A,0,0
338,GG1601_S,0,0
381,GI0551_C,0,0
399,GA1851_B,0,0
427,GC0201_C,0,0
436,GD138B_P,0,0
470,GL1301_R,0,0
487,GC1351_D,0,0
489,GI0401_R,0,0
524,GC125A_F,0,0
581,GB0501_D,0,0
639,GI0651_C,0,0
640,GI0651_B,0,0
697,GC4101_S,0,0
733,GC4101_Y,0,0
734,GJ0071_T,0,0
738,GI0651_D,0,0
754,GA5301_C,0,0
785,GG1601_T,0,0
787,GL3001_D,0,0
791,GC1351_C,0,0
812,GA1901_F,0,0
835,GG1551_A,0,0
879,GC125A_E,0,0
881,GI0551_H,0,0
882,GI0551_F,0,0
888,GI0651_G,0,0
892,GA1901_H,0,0
920,GD1451_D,0,0
930,GA5301_D,0,0
946,GJ0051_B,0,0
956,GJ0131_M,0,0
984,GG1551_D,0,0
996,GA5351_V,0,0
,,,
Welsh Points,,,
65,GA4701_C,52.2132495,-4.061803437
90,GA4851_R,52.21415502,-4.060410822
566,GD0971_C,52.18546604,-4.10449231
